# Swiss Law Collection — laws without a plausible enactment date (correction template)
# fill corrected_enactment_date (YYYY-MM-DD) and correction_note (source/citation), then run: legalize-ch import-dates undated_laws.csv — corrections are applied to the law files as enactment_date_source: manual_import and improve the statistics on the next regeneration
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
entity,id,title,category_type,languages,raw_dates,enactment_date_source,reason,link,corrected_enactment_date,correction_note
FR,"482.2","Raumplanerische Kulturgüterschutzmassnahmen","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/482.2.md,,
FR,"482.9","Landschaftsschutz","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/482.9.md,,
FR,"50.38","Sanitätsdienstliche Notmassnahme im begrenzten Katastrophenfall in","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/50.38.md,,
FR,"631.8","Steuerbegünstigungen für die Bildung von","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/631.8.md,,
FR,"632.62","Steuerliche Auswirkungen der Einführung des Freiburger Spitalnetzes","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/632.62.md,,
FR,"633.0","Kirchensteuern","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/633.0.md,,
FR,"635.1.12","Schätzungskommission für die Handänderungssteuer","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/635.1.12.md,,
FR,"69.0","Kantonalbank","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/69.0.md,,
FR,"717.0","Feuerpolizei","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/717.0.md,,
FR,"721.0.2","Raumplanerische Massnahmen zum Natur- und Heimatschutz","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/721.0.2.md,,
FR,"721.1.32","Aufsicht über die Tier- und Pflanzenwelt","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/721.1.32.md,,
FR,"741.56","Gebühren des Tiefbauamts","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/741.56.md,,
FR,"743.8.0","http://www.fr.ch/sleg_bdlf/de/plan_sys/default.aspx?nosystematique1=8&","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/743.8.0.md,,
FR,"744.0","Bodenverbesserungen (Meliorationen)","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/744.0.md,,
